Weights	ampicillin	amoxicillin-clavulanic_acid	amikacin*	cefazolin	cefalotin	ciprofloxacin	cefixime	ceftazidime	gentamicin_C	meropenem*	nitrofurantoin*	piperacillin-tazobactam	tetracycline	tobramycin	trimethoprim-sulfamethoxazole	cefoxitin	ceftriaxone	ertapenem*
OXA-1	0.005091111	0.896470422	-0.052722831	0.260175741	0.518274577	0.230250257	0.285990197	0.285990197	0.304234908	0.776797554	-0.012387469	0.292205544	0.003316647	5.502246069	0.015004018	0.181006786	0.285990197	0.069331783
Escherichia coli PtsI with mutation conferring resistance to fosfomycin	0.009850814	0.70886717	-0.109340921	-0.966474315	1.537436573	0.234888878	0.672512599	0.672512599	1.134698666	-0.403957711	-0.167262919	0.402599854	0.002807788	6.551565044	0.068815629	-1.481539986	0.672512599	-0.589473055
Escherichia coli UhpT with mutation conferring resistance to fosfomycin	0.01349764	-1.411673247	-0.173376905	0.181674799	1.023197174	0.308618848	-1.724614433	-1.724614433	0.089809342	-0.832077212	-3.226467643	-0.567968315	0.002361718	-1.438903645	0.141509291	-1.5780241	-1.724614433	0.115838722
tetR	0.000275827	0.058833312	-0.040321228	-0.076282662	0.889727322	-0.009069274	-0.069405509	-0.069405509	-0.473170337	-0.609302951	-1.998459228	-0.13867241	0.00228492	-0.832513137	-0.052154354	-0.0466243	-0.069405509	-0.269749963
tet(D)	0.000634031	-0.718020196	-0.044527456	-0.152316886	-1.152548243	-0.06513673	0.066372258	0.066372258	-0.427196821	-0.621685775	-2.025332681	-0.353809888	0.002262537	-0.831774597	-0.022319809	-0.93622106	0.066372258	-0.35778422
vgaC	0.011178011	0.814155409	-0.048702911	0.541083366	0.790531111	0.664933541	-0.101666747	-0.101666747	-1.165441258	0.850984064	-0.520874342	0.753171609	0.00202844	-2.835795401	0.139543492	-0.395868094	-0.101666747	0.506655179
aadA	0.001846361	-0.115329203	0.336582195	0.474669531	0.680745361	0.048573399	0.962681601	0.962681601	0.144135901	1.497566366	-0.066694402	0.101879985	0.001896949	0.637424187	0.324326234	0.105156263	0.962681601	0.309033395
tet(B)	0.000646845	-0.164848176	-0.045252706	-0.152316886	-1.321252691	-0.038953183	-0.075893904	-0.075893904	-0.473170337	-0.617279665	-2.027069417	-0.170496109	0.001890548	-0.831732875	-0.022319809	-0.185249994	-0.075893904	-0.328904356
AAC(3)-IIc	0.001437784	1.091351266	-0.007732064	2.125082353	0.318004292	-0.261483667	1.666640227	1.666640227	0.868425342	-0.06377342	0.000451546	-0.044580473	0.001493213	2.485517471	0.039744722	-0.043333876	1.666640227	-0.067162597
CTX-M-27	0.00255573	-1.158795667	-0.035420954	2.14410197	2.621489871	0.145384519	1.941742586	1.941742586	-1.422000605	-0.654533005	-2.202461114	-0.400410417	0.001457913	-3.368696798	-0.034964777	-1.258760472	1.941742586	-0.439320915
aadA2	0.000359707	0.686350866	-0.025123141	-0.305054147	0.46873142	0.122608853	-0.080339691	-0.080339691	-0.084090973	-0.981174254	-1.320306335	-0.231594881	0.001160474	0.401736418	0.305549597	-0.081052918	-0.080339691	-0.185785125
floR	0.00073639	0.435386261	-0.015838656	0.173178013	0.221392022	0.097988037	0.165415954	0.165415954	-0.111701118	-0.061530288	-0.943302519	-0.103793236	0.001141912	0.372418587	0.217262557	0.255425799	0.165415954	-0.072981237
dfrA12	0.001476634	0.40178171	0.351007349	0.385109598	0.385218709	0.083526791	0.652203302	0.652203302	0.182503691	1.556409686	1.478514048	0.101879985	0.001133067	0.637359624	0.190241295	-0.30516945	0.652203302	0.387353495
dfrA15	-1.90124E-05	-0.605498487	-0.019868739	-0.107108338	0.765434097	0.001491397	0.231249856	0.231249856	-0.206430885	-0.986662008	-1.261863877	-0.1329184	0.000771955	-0.344319832	0.196179992	0.380670783	0.231249856	-0.198238099
qacH	0.000374223	0.293538633	-0.012142899	0.167951227	-0.000588012	0.060441367	0.162267435	0.162267435	0.083972122	-0.053154782	-0.942920638	-0.04933824	0.00076998	0.372418587	0.188769741	0.179463862	0.162267435	-0.045547325
sul3	0.000374223	0.293538633	-0.012142899	0.167951227	-0.000588012	0.060441367	0.162267435	0.162267435	0.083972122	-0.053154782	-0.942920638	-0.04933824	0.00076998	0.372418587	0.188769741	0.179463862	0.162267435	-0.045547325
catI	0.000730031	0.264322915	-0.024654233	1.882542161	0.302952289	0.154888812	-0.366175958	-0.366175958	-0.18456406	-0.637961932	-1.991376532	-0.015448695	0.000760968	-0.827056242	0.222115064	-0.565243373	-0.366175958	-0.193802053
APH(3')-Ia	0.000711821	0.266859253	-0.019062942	-0.62040162	1.454332429	-0.047085645	-0.471698692	-0.471698692	-0.164094887	-0.595142804	1.074722867	0.079708989	0.000751293	-0.38874197	0.047931377	-0.243754636	-0.471698692	-0.149473038
QnrS9	0.000728359	0.034565782	0.317758656	0.371558837	0.228523286	0.051868779	0.431578725	0.431578725	0	1.505263995	2.100271062	0	0.000751123	1.733352178	0.027342882	0.865940365	0.431578725	0.36569569
MexK	0.000717215	0.352457947	-0.006026325	1.338921341	0.037012529	-0.019028817	1.757750355	1.757750355	-0.160256366	-0.083377407	-1.930025354	-0.056819002	0.000745418	-0.003677117	0.011411017	-0.014731439	1.757750355	-0.116537965
OpmB	0.000721928	0.017282891	0.152642472	0.185691176	0.354111587	0.04087092	0.216593896	0.216593896	0	0.748184036	3.242591185	-0.138390597	0.000744856	0.487498582	0.022954813	-0.183470479	0.216593896	0.144610929
Escherichia coli CyaA with mutation conferring resistance to fosfomycin	0.004406981	-0.256237234	0.105616848	0.540694812	2.40685761	0.020624689	-0.692537453	-0.692537453	-0.254787846	-0.590314163	2.028785306	-0.320368853	0.000711766	2.599943698	0.117242645	0.213452941	-0.692537453	0.47367424
AcrE	-0.000482245	0.465954808	-0.032102279	-0.010097526	-0.145220845	-0.034822495	0.071543647	0.071543647	-0.013020512	-0.502966285	0.497881141	-0.14506989	0.000396151	0.351284431	-0.051612922	-0.595708325	0.071543647	-0.15480104
SAT-2	-0.000388739	0.131355435	-0.010049826	0.247620059	0.469907445	0.071163458	0.246417675	0.246417675	-0.084090973	-0.980772687	0.001154205	-0.1329184	0.000395634	-0.346329705	0.196179992	0.380670783	0.246417675	-0.145145523
Salmonella enterica gyrA with mutation conferring resistance to triclosan	0.00038814	0.53431361	-0.004725736	1.515597384	0.369601262	0.254939155	2.146386801	2.146386801	-0.118246904	-0.006161628	-0.230080591	-0.070582735	0.000392589	-0.027388691	-0.046129261	-0.137935896	2.146386801	-0.041287926
IND-5	0.00038814	0.53431361	-0.004725736	1.515597384	0.369601262	0.254939155	2.146386801	2.146386801	-0.118246904	-0.006161628	-0.230080591	-0.070582735	0.000392589	-0.027388691	-0.046129261	-0.137935896	2.146386801	-0.041287926
tetW	0.00038814	0.53431361	-0.004725736	1.515597384	0.369601262	0.254939155	2.146386801	2.146386801	-0.118246904	-0.006161628	-0.230080591	-0.070582735	0.000392589	-0.027388691	-0.046129261	-0.137935896	2.146386801	-0.041287926
CTX-M-3	0.00038814	0.53431361	-0.004725736	1.515597384	0.369601262	0.254939155	2.146386801	2.146386801	-0.118246904	-0.006161628	-0.230080591	-0.070582735	0.000392589	-0.027388691	-0.046129261	-0.137935896	2.146386801	-0.041287926
Escherichia coli ampC beta-lactamase	-0.0003832	-0.199790362	-0.006777737	-0.185927554	-0.163981895	-0.042994187	-0.35666883	-0.35666883	-0.12886937	-0.087515992	-0.00791076	-0.037447183	0.000391782	-0.257281908	-0.056494879	-0.03100945	-0.35666883	-0.026535149
MexD	-0.000388739	-0.355599388	-0.002246034	-0.655983397	0.120596307	0.160133172	-0.360790145	-0.360790145	0	-0.000518939	0.000557774	0	0.000389309	-0.044285346	0.163839909	-0.121998008	-0.360790145	-0.019212407
dfrE	-0.000388739	-0.355599388	-0.002246034	-0.655983397	0.120596307	0.160133172	-0.360790145	-0.360790145	0	-0.000518939	0.000557774	0	0.000389309	-0.044285346	0.163839909	-0.121998008	-0.360790145	-0.019212407
CMY-45	0	0.219743009	-0.004606242	0.44428833	0	0.03471867	0.325646118	0.325646118	0.083972122	-0.052953998	-0.282190368	0	0.00038756	-0.001283638	0.134084938	0.410325712	0.325646118	-0.025227524
LEN-10	0	0.219743009	-0.004606242	0.44428833	0	0.03471867	0.325646118	0.325646118	0.083972122	-0.052953998	-0.282190368	0	0.00038756	-0.001283638	0.134084938	0.410325712	0.325646118	-0.025227524
CTX-M-55	0	0.219743009	-0.004606242	0.44428833	0	0.03471867	0.325646118	0.325646118	0.083972122	-0.052953998	-0.282190368	0	0.00038756	-0.001283638	0.134084938	0.410325712	0.325646118	-0.025227524
Shigella flexneri chloramphenicol acetyltransferase	0.000372963	0.311509066	0.209740098	0.328249268	0.426286107	-0.05725876	0.461362303	0.461362303	0.269265143	1.373757807	-0.582148744	0.098020714	0.000385794	0.563566537	0.150687432	0	0.461362303	0.29807266
tet(59)	0.000372963	0.311509066	0.209740098	0.328249268	0.426286107	-0.05725876	0.461362303	0.461362303	0.269265143	1.373757807	-0.582148744	0.098020714	0.000385794	0.563566537	0.150687432	0	0.461362303	0.29807266
Pseudomonas aeruginosa soxR	0	0	-0.005160175	-0.147395836	0.154741029	-0.05725876	-0.118573587	-0.118573587	-0.027882683	-0.010030026	0.000336113	-0.04489359	0.000385794	0.004191444	0.087077536	0	-0.118573587	-0.046466051
CARB-17	0.000361332	0.075608478	-0.007632865	-0.114920789	0.154741029	-0.044154348	-0.114487517	-0.114487517	0.010752615	-0.025307229	-0.417860574	-0.204604833	0.000385794	0.002861536	0.124087484	0.454521325	-0.114487517	-0.077475278
CARB-23	0.000371502	0	-0.002150111	0.027975973	-8.16248E-05	0	0.030098434	0.030098434	0.009077412	-0.012910432	-0.012423825	-0.183339351	0.000383299	-0.001059119	-0.074126842	-0.360013449	0.030098434	-0.021463171
tet(W/N/W)	0.000374223	0.073795625	-0.007536658	-0.276337103	-0.000588012	0.025722697	-0.163378683	-0.163378683	0	-0.000200784	-0.66073027	-0.04933824	0.00038242	0.374363898	0.054684802	-0.23086185	-0.163378683	-0.020319801
linG	0.000374223	0.073795625	-0.007536658	-0.276337103	-0.000588012	0.025722697	-0.163378683	-0.163378683	0	-0.000200784	-0.66073027	-0.04933824	0.00038242	0.374363898	0.054684802	-0.23086185	-0.163378683	-0.020319801
aadA23	0.000374223	0.073795625	-0.007536658	-0.276337103	-0.000588012	0.025722697	-0.163378683	-0.163378683	0	-0.000200784	-0.66073027	-0.04933824	0.00038242	0.374363898	0.054684802	-0.23086185	-0.163378683	-0.020319801
aadA24	0.000374223	0.073795625	-0.007536658	-0.276337103	-0.000588012	0.025722697	-0.163378683	-0.163378683	0	-0.000200784	-0.66073027	-0.04933824	0.00038242	0.374363898	0.054684802	-0.23086185	-0.163378683	-0.020319801
mphG	-2.87043E-05	-0.788687413	-0.022291059	-0.677306663	2.219915535	-0.095523772	-1.15184336	-1.15184336	-0.20338393	-0.137711628	-1.926248175	-0.178871202	0.000378152	0.364037384	-0.111517914	-0.341353329	-1.15184336	-0.104329608
mef(B)	0.000374223	-0.059565074	-0.014261081	0.219939245	0.001666414	0.093782222	0.166524684	0.166524684	-0.079604596	-0.150372721	-0.982152471	-0.172459832	0.000376639	0.372418587	0.244585798	-0.572311366	0.166524684	-0.079390631
dfrA7	0.000742689	-0.425344856	0.20508136	0.120916707	0.56707173	-0.069672061	0.564768071	0.564768071	0.174807914	1.377898511	-1.845502939	0.142914304	0.000376321	0.561384966	0.063609896	0	0.564768071	0.291446135
MexJ	0.000369726	-0.736853922	-0.009818913	-0.354728397	0.295526652	-0.069672061	-0.015167819	-0.015167819	-0.122339912	-0.005889322	-1.263018082	0	0.000376321	0.002009873	0	0	-0.015167819	-0.053092576
cmeA	0.000364179	0.017282891	0.158879328	0.185779418	0.114261643	0.025934389	0.215789362	0.215789362	0	0.752631998	1.050135531	0	0.000375562	0.48876674	0.013671441	0.257804735	0.215789362	0.182847845
rmtB	0.000364179	0.017282891	0.158879328	0.185779418	0.114261643	0.025934389	0.215789362	0.215789362	0	0.752631998	1.050135531	0	0.000375562	0.48876674	0.013671441	0.257804735	0.215789362	0.182847845
NDM-5	0.000364179	0.017282891	0.158879328	0.185779418	0.114261643	0.025934389	0.215789362	0.215789362	0	0.752631998	1.050135531	0	0.000375562	0.48876674	0.013671441	0.257804735	0.215789362	0.182847845
CMY-42	0.000364179	0.017282891	0.158879328	0.185779418	0.114261643	0.025934389	0.215789362	0.215789362	0	0.752631998	1.050135531	0	0.000375562	0.48876674	0.013671441	0.257804735	0.215789362	0.182847845
BRP(MBL)	0.000364179	0.017282891	0.158879328	0.185779418	0.114261643	0.025934389	0.215789362	0.215789362	0	0.752631998	1.050135531	0	0.000375562	0.48876674	0.013671441	0.257804735	0.215789362	0.182847845
OXA-368	0	0	-0.002685403	0.000332642	0.003710712	0.006340183	9.85544E-05	9.85544E-05	-0.279844762	-1.240119118	2.73327E-05	-0.307000414	0.000375489	0.001738722	0.032028891	-1.404184643	9.85544E-05	-0.115389966
TriC	0	-0.232875286	-0.002294098	0	0	-0.069844564	-0.032287646	-0.032287646	-0.064446431	-0.001783628	-0.001455446	-0.020562783	0.000375427	0.000720543	0	-0.024561013	-0.032287646	-0.024133545
Brucella suis mprF	0.000365269	0.293032549	-0.008276939	2.2178E-05	0	0.077911331	0.019856733	0.019856733	-0.114644135	-0.576850255	1.733591238	0.077625225	0.000375086	-0.785146106	0.016151629	0	0.019856733	-0.097427179
MexF	0.000359586	0.213560695	-0.00194669	1.062541176	0.035044157	-0.064892087	0.833320114	0.833320114	0.096340503	-0.016373831	0.000278273	-0.0128351	0.000373226	0	0	-0.014731439	0.833320114	-0.01772048
Morganella morganii gyrB conferring resistance to fluoroquinolone	0	1.037391548	-0.003338946	0	0.000397053	0.053676212	0	0	-0.504721964	-0.020670285	-0.077391482	-0.045107984	0.00037281	-0.40899804	0.011741159	0.88911558	0	-0.07637179
TEM-191	0.00038506	0.743553127	-0.011696398	-0.031614637	0.444817181	-0.050373477	-0.066028471	-0.066028471	0.541817625	-0.034175988	-0.611350125	-0.114429287	0.00037281	-0.40899804	0.013157364	0.557003245	-0.066028471	-0.107460047
QnrB20	0.000356075	0	-0.004935143	-1.134864593	0.537494011	0.018226211	-0.789708126	-0.789708126	-0.009232367	-0.019543407	0.000105994	-0.056076471	0.000372582	0.000319079	0.010257446	-0.333599457	-0.789708126	-0.092753363
IND-6	0.000356075	0	-0.004935143	-1.134864593	0.537494011	0.018226211	-0.789708126	-0.789708126	-0.009232367	-0.019543407	0.000105994	-0.056076471	0.000372582	0.000319079	0.010257446	-0.333599457	-0.789708126	-0.092753363
RlmA(II)	0.000356075	0	-0.004935143	-1.134864593	0.537494011	0.018226211	-0.789708126	-0.789708126	-0.009232367	-0.019543407	0.000105994	-0.056076471	0.000372582	0.000319079	0.010257446	-0.333599457	-0.789708126	-0.092753363
OprN	0.000359967	-0.1540483	-0.003386046	0.348256874	-0.000102702	0.037757344	0	0	0	-0.000851291	-0.168913213	-0.036979315	0.000372024	-0.116862808	0.013169442	-0.249975887	0	-0.028613343
CMY-2	0.001484813	2.620039521	-0.02743055	4.205988535	1.775506495	0.096619763	2.9860513	2.9860513	-0.433758283	4.246585024	3.650326993	0.101711106	0.000355095	-1.124167822	-0.047288347	1.294744129	2.9860513	1.199334524
Escherichia coli gyrA conferring resistance to fluoroquinolones	0.002967022	-0.945970423	-0.033258354	-1.220200051	-1.22907322	-0.257445418	-0.578207464	-0.578207464	0.597853903	-0.826752789	-1.010158527	0.082031295	0.000351477	7.159788833	0.112576329	-0.035711059	-0.578207464	-0.435224069
ErmB	0.000736806	-0.437877974	-0.019888373	0.334304819	1.471625016	0.04816632	0.477688512	0.477688512	-0.251247743	-0.626249555	-1.789443993	-0.312700215	0.000332819	-0.40572813	0.015893536	-1.082671626	0.477688512	-0.256011602
OXA-74	0.001078692	0.403414676	-0.015107423	0.244344834	0.160615899	-0.054248413	-0.075287715	-0.075287715	0.486041074	3.79067348	-1.870415613	-0.006264133	0.000331867	1.455240338	0.020333193	0.281193922	-0.075287715	0.766466229
MexW	0.00181703	-0.806426587	-0.017554859	-0.941889876	-1.324196712	-0.021865706	-0.808338836	-0.808338836	-0.693785326	-0.106815614	-0.70530486	-0.283996722	0.000329284	0.821117253	0.116232904	-0.601515201	-0.808338836	-0.195891568
mdtG	-0.000450597	0.02178366	-0.021619007	-0.339929997	-0.385070789	-0.095033588	-0.048032858	-0.048032858	-0.197444539	-0.093827107	0.055254219	-0.105567471	5.35048E-05	0.289781451	0.225716584	-0.091753915	-0.048032858	-0.070746799
emrB	-0.001228732	-0.260658393	-0.021570519	-0.725691645	-0.264474482	0.110374147	-0.331664004	-0.331664004	0.041645793	-0.07315113	0.057269889	-0.00371771	5.01395E-05	0.323728332	0.096874167	-0.094058157	-0.331664004	-0.066643066
gadX	-0.001222332	-1.951893796	-0.015416224	-1.392904001	-0.512435385	-0.10521016	-1.569721451	-1.569721451	0.041645793	-0.00021546	-5.597030339	-0.922304242	4.4673E-05	0.368013678	-0.066965742	-2.331097506	-1.569721451	0.026290026
mdtP	-0.000481853	-0.770211325	-0.023438031	-1.467112009	-0.363462654	-0.000669082	-1.181803739	-1.181803739	-0.293847673	-0.07360189	-0.223364724	-0.044371243	3.32274E-05	0.368013678	-0.055334117	-0.452870542	-1.181803739	-0.095274928
mdtF	-0.00048105	-0.447084277	-0.022500014	0.136945027	-0.324281559	-0.013437746	0.137604746	0.137604746	-0.490434727	-0.075050541	-0.012985103	-0.044844829	3.24335E-05	0.325295763	-0.066965742	-0.503976094	0.137604746	-0.077850727
vanHA	5.60651E-06	0.408684495	-0.006687727	1.515597384	1.812083607	0.254939155	1.21343038	1.21343038	-0.199290922	-0.137183576	-0.23229563	-0.176671313	1.2E-05	-0.035813716	-0.078430943	-0.137935896	1.21343038	-0.059548157
MexI	0.000378228	-0.305860048	-0.006174059	0	0.147283911	0.06221123	0	0	-0.508269829	-0.018796253	-0.069058519	-0.14641688	7.63048E-06	-0.746798297	-0.029426678	-0.03100945	0	-0.034902388
CMY-4	0.000372963	0.311509066	0.214900273	0.475645104	0.271545078	0	0.57993589	0.57993589	0.297147826	1.383787833	-0.582484857	0.142914304	0	0.559375093	0.063609896	0	0.57993589	0.344538711
armA	0.000372963	0.311509066	0.214900273	0.475645104	0.271545078	0	0.57993589	0.57993589	0.297147826	1.383787833	-0.582484857	0.142914304	0	0.559375093	0.063609896	0	0.57993589	0.344538711
OXA-181	0.000372963	0.311509066	0.214900273	0.475645104	0.271545078	0	0.57993589	0.57993589	0.297147826	1.383787833	-0.582484857	0.142914304	0	0.559375093	0.063609896	0	0.57993589	0.344538711
mphD	0.000372963	0.311509066	0.214900273	0.475645104	0.271545078	0	0.57993589	0.57993589	0.297147826	1.383787833	-0.582484857	0.142914304	0	0.559375093	0.063609896	0	0.57993589	0.344538711
msrE	0.000372963	0.311509066	0.214900273	0.475645104	0.271545078	0	0.57993589	0.57993589	0.297147826	1.383787833	-0.582484857	0.142914304	0	0.559375093	0.063609896	0	0.57993589	0.344538711
opcM	0.000359929	0	-0.003972696	0.181990375	0.780673648	0.021292469	0.26009683	0.26009683	-0.005137363	-0.098443748	-0.00214049	0	0	0	0.017265653	0	0.26009683	-0.066606666
vanSN	0.000359929	0	-0.003972696	0.181990375	0.780673648	0.021292469	0.26009683	0.26009683	-0.005137363	-0.098443748	-0.00214049	0	0	0	0.017265653	0	0.26009683	-0.066606666
AAC(6')-Ib8	0.000359929	0	-0.003972696	0.181990375	0.780673648	0.021292469	0.26009683	0.26009683	-0.005137363	-0.098443748	-0.00214049	0	0	0	0.017265653	0	0.26009683	-0.066606666
TEM-192	-0.000387817	0	-0.001531278	0	-2.828797088	-0.051258382	0	0	-0.491946013	-0.027262874	-0.002236416	0	0	-3.627293208	0	0	0	-0.010895614
AAC(3)-Ia	0.00038506	0	-0.001398797	-0.031614637	0.444420129	-0.058008061	-0.066028471	-0.066028471	1.046539589	-0.010546597	-0.471961049	0	0	0	-0.040707321	0	-0.066028471	-0.008802176
CTX-M-115	0	-0.293838421	-0.006958655	0	0	-0.046041628	0	0	0	-0.002959106	-0.061997594	-0.069321304	0	0	0.042123526	-0.332112335	0	-0.022286081
MuxB	0	-0.335316212	-0.002122837	-0.875397547	-2.706016298	0	0	0	0	-1.468704226	0.000636062	-0.105137034	0	-0.097545327	0	-0.760550907	0	-0.05816281
adeJ	-0.000382249	-0.374334926	-0.003276038	-1.255821855	2.818377778	-0.033193389	-1.268647499	-1.268647499	-0.219745889	-0.087000018	-0.005887164	-0.110395148	0	-4.266324856	0	0	-1.268647499	-0.041821204
CMY-14	0	-0.175224945	-0.002875526	-2.776443953	0	0.064561357	-2.969394666	-2.969394666	-1.206221849	-0.016049175	-0.360955475	-0.156761256	0	0	-0.054318612	-0.611989307	-2.969394666	-0.024668049
QnrB19	0.000371018	-0.00393848	-0.00953772	0.368254106	-2.210980013	0.004834761	0.319157723	0.319157723	0.083972122	-0.060930713	-0.310800558	-0.031823699	-6.8115E-06	-0.000503376	0.163919483	0.271700019	0.319157723	-0.084381917
CARB-22	0.0007444	-0.236072614	-0.006398293	0.304999465	2.457805063	0.037757344	-0.013760076	-0.013760076	-0.178368138	-0.012896934	-0.16912667	-0.08108281	-1.00025E-05	-0.119592105	-0.047036517	-0.330692079	-0.013760076	-0.049853769
Salmonella enterica cmlA	0.000741078	0.197642398	-0.009930291	-0.264293961	-0.000588012	0.025722697	-0.144011802	-0.144011802	0.014158016	-0.053428373	1.934488573	0.009864673	-1.03031E-05	0.372415132	-0.103972896	0.073323015	-0.144011802	-0.038414426
Bacillus Cluster A intrinsic mph	0.000722664	0.883793022	-0.005828672	0.38599334	0.123957989	-0.044317492	0.632534922	0.632534922	0.123632667	-0.046460323	0.000421515	-0.100801794	-2.01412E-05	1.242728668	-0.188742251	-0.17443269	0.632534922	-0.060004282
CMY-99	0.000733173	-0.50597046	-0.012086773	-0.15163567	-0.296781717	-0.025855685	-0.042058626	-0.042058626	-0.01722317	-0.060163666	0.668809683	-0.214750122	-2.12207E-05	-0.002945156	0.009283372	-0.546102385	-0.042058626	-0.112010907
acrD	0.000755429	0.20378277	0.137982078	0.059550829	-0.049720252	-0.070524592	-0.099266496	-0.099266496	-0.270691619	0.076039959	-0.720581844	-0.11277081	-2.16726E-05	0.216045556	-0.082557097	-0.395073192	-0.099266496	0.027449307
TEM-1	0.013737675	1.262578701	0.209487255	-2.513218146	0.555054193	-0.076980724	-3.434685629	-3.434685629	-1.018787244	-0.467890647	-1.810563345	-0.367871544	-0.000148773	-6.38482719	0.115173062	-0.636852709	-3.434685629	0.220316433
Escherichia coli marR mutant conferring antibiotic resistance	0.000312121	0.094940995	-0.016350987	-0.023467085	-0.86756534	0.001815383	0.069466579	0.069466579	0.041645793	-0.072032617	0.056996898	0.019726673	-0.00033917	0.371925041	0.066935293	0.13843133	0.069466579	-0.034773659
mdtH	-0.000839993	0.094940995	-0.019324485	-0.069708248	-0.385070789	-0.049759025	0.029126141	0.029126141	0.041645793	-0.072632191	0.056712114	-0.00371771	-0.00033917	0.368013678	-0.066965742	0.027939851	0.029126141	-0.047430659
eptA	-0.000839993	0.094940995	-0.019324485	-0.069708248	-0.385070789	-0.049759025	0.029126141	0.029126141	0.041645793	-0.072632191	0.056712114	-0.00371771	-0.00033917	0.368013678	-0.066965742	0.027939851	0.029126141	-0.047430659
