Weights	ampicillin*	amoxicillin-clavulanic_acid*	amikacin*	cefazolin*	cefalotin*	ciprofloxacin	cefixime*	ceftazidime	gentamicin_C	meropenem	piperacillin-tazobactam	tobramycin*	trimethoprim-sulfamethoxazole*	cefoxitin*	ceftriaxone*
MuxC	-0.536969785	-0.536969785	-0.002247044	0.070934735	0.058288175	-0.958591449	0.034049575	0.249824432	-0.995627828	0.243717675	0.088058771	-0.004723346	-0.171313803	-0.536969785	-0.536969785
Pseudomonas aeruginosa catB7	-0.536929815	-0.536929815	-0.938787812	0.063002028	0.05794412	0.453665164	0.033809224	0.034896645	-3.90044902	-0.515337333	0.209452883	-0.406687852	-0.175811238	-0.536929815	-0.536929815
mexY	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
MuxA	-0.536969785	-0.536969785	-0.002247044	0.070934735	0.058288175	-0.958591449	0.034049575	0.249824432	-0.995627828	0.243717675	0.088058771	-0.004723346	-0.171313803	-0.536969785	-0.536969785
Pseudomonas aeruginosa CpxR	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
MexL	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
ArmR	8.358843061	8.358843061	-0.450396966	0.314256247	6.340208773	-5.219175263	8.253038083	-1.76144565	-2.683860463	-1.481321612	-0.588786518	-0.220411525	1.555535491	8.358843061	8.358843061
MexS	-0.536969785	-0.536969785	-0.002247044	0.070934735	0.058288175	-0.958591449	0.034049575	0.249824432	-0.995627828	0.243717675	0.088058771	-0.004723346	-0.171313803	-0.536969785	-0.536969785
OpmB	-0.536969785	-0.536969785	-0.002247044	0.070934735	0.058288175	-0.958591449	0.034049575	0.249824432	-0.995627828	0.243717675	0.088058771	-0.004723346	-0.171313803	-0.536969785	-0.536969785
OprN	-0.536969785	-0.536969785	-0.002247044	0.070934735	0.058288175	-0.958591449	0.034049575	0.249824432	-0.995627828	0.243717675	0.088058771	-0.004723346	-0.171313803	-0.536969785	-0.536969785
opmE	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
bcr-1	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
basS	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
MexG	-0.575179847	-0.575179847	0.005393313	0.04921424	-0.117715054	-1.718352526	-0.128793153	-0.694839704	0.770509572	0.07250919	-0.628272583	-0.008760963	-0.852126319	-0.575179847	-0.575179847
MexA	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
MexF	-7.149370873	-7.149370873	0.130030723	-0.055748159	-1.911036664	1.499813123	-1.018626776	0.647449497	-4.267441843	5.496449906	1.234983673	-0.24824783	-0.207087191	-7.149370873	-7.149370873
MexV	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
nalD	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
Pseudomonas aeruginosa soxR	-0.545819956	-0.545819956	0.019472715	0.06186237	-0.099787121	-0.258811131	-0.056259656	0.14733198	2.013031847	0.813926819	-0.605919872	0.004525868	-0.179251732	-0.545819956	-0.545819956
FosA	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
PmpM	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
MexE	0.155497683	0.155497683	-0.054434907	0.129857946	1.228589364	1.353685967	1.432670894	0.890420347	-0.99553349	-1.032364041	0.291772702	-0.01429685	1.335180029	0.155497683	0.155497683
TriC	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
MuxB	-0.536969785	-0.536969785	-0.002247044	0.070934735	0.058288175	-0.958591449	0.034049575	0.249824432	-0.995627828	0.243717675	0.088058771	-0.004723346	-0.171313803	-0.536969785	-0.536969785
OXA-50	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
mexN	-1.203584235	-1.203584235	0.035240505	0.047735976	-0.936697895	0.593924891	-1.202835855	0.488677082	0.77060391	1.348590906	0.38010607	-0.00736771	-1.005956391	-1.203584235	-1.203584235
MexI	-0.575179847	-0.575179847	0.005393313	0.04921424	-0.117715054	-1.718352526	-0.128793153	-0.694839704	0.770509572	0.07250919	-0.628272583	-0.008760963	-0.852126319	-0.575179847	-0.575179847
OprM	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
MexR	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
MexH	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
MexD	15.7230285	15.7230285	0.075915965	0.037772423	-0.7047032	-3.381440372	-0.436979656	-0.928143709	1.956975504	2.815491558	0.314193095	0.032462841	4.492523192	15.7230285	15.7230285
Type A NfxB	-3.77968327	-3.77968327	-0.552750273	0.369308239	-2.173337081	-6.968764048	-3.070077291	-2.362509283	-4.847788767	-6.241404012	-0.734115177	0.024526933	2.613538327	-3.77968327	-3.77968327
mexM	-1.203584235	-1.203584235	0.035240505	0.047735976	-0.936697895	0.593924891	-1.202835855	0.488677082	0.77060391	1.348590906	0.38010607	-0.00736771	-1.005956391	-1.203584235	-1.203584235
nalC	-0.545621722	-0.545621722	-0.023006339	0.081278545	0.05794412	0.621605219	0.033293182	0.447385589	1.06433567	0.263990414	0.088058771	0.111098115	-0.180534641	-0.545621722	-0.545621722
mexP	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
MexT	-0.536969785	-0.536969785	-0.002247044	0.070934735	0.058288175	-0.958591449	0.034049575	0.249824432	-0.995627828	0.243717675	0.088058771	-0.004723346	-0.171313803	-0.536969785	-0.536969785
TriB	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
APH(3')-IIb	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
arnA	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
MexW	-0.54630579	-0.54630579	-0.033956524	0.087295501	0.057880763	0.593924891	0.033424798	-0.106822603	0.77060391	-0.046462512	1.068885605	-0.017233322	-0.170659207	-0.54630579	-0.54630579
PDC-5	12.47173276	12.47173276	0.359295292	0.134096599	2.84452078	-8.044958489	3.85510679	-2.498502717	-0.633929119	-11.96397106	-1.814649382	-0.072848753	4.135542426	12.47173276	12.47173276
carA	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
Type B NfxB	3.236534963	3.236534963	0.54697325	-0.291371526	2.231281202	-2.584229558	3.103573446	-2.544246024	-2.887008843	-3.669557417	-1.972184085	-0.037378022	-2.789332766	3.236534963	3.236534963
PDC-8	3.918164713	3.918164713	0.595235372	0.163205892	3.524563503	-8.213491037	4.741939472	-4.628998729	-2.081780746	-11.52859094	-2.50026894	0.170995741	2.843326515	3.918164713	3.918164713
MexZ	1.855139724	1.855139724	0.52025914	0.127889868	1.052647331	0.037507491	1.268180071	-2.397673229	-11.10729172	-1.206836156	0.586619183	-0.028058085	4.691601172	1.855139724	1.855139724
PDC-9	-6.265725496	-6.265725496	-0.483960552	0.311067799	-2.89798295	-7.537584111	-3.537741316	-1.836002388	-0.510982243	-5.163596699	-0.981493265	0.107924252	3.401423349	-6.265725496	-6.265725496
mdtF	0.11513939	0.11513939	-0.072560819	0.044050271	1.487306892	-0.271064822	1.642262486	1.196043289	-0.461769697	-1.79543392	1.090450209	-0.030491035	0.089854829	0.11513939	0.11513939
mdtC	0.018157789	0.018157789	-0.008873651	0.010641868	0.004752609	-0.039449309	0.001684894	-2.416630941	-0.150057015	-2.063453672	-0.872070556	-0.004601137	0.081866788	0.018157789	0.018157789
APH(3'')-Ib	1.411607208	1.411607208	-0.13633455	0.061234845	2.370975961	2.503325836	2.172926567	0.569677618	-3.796860213	1.889088678	0.64705805	0.082095758	1.172755278	1.411607208	1.411607208
Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones	9.207189396	9.207189396	0.604940408	0.154269255	3.768254161	10.44344624	6.438971291	0.37260883	5.940868859	2.882376431	0.493576309	0.473580029	2.817822284	9.207189396	9.207189396
tet(C)	-7.425197998	-7.425197998	-0.096185124	0.063584203	1.960432623	-1.727546192	1.947187716	-1.907720531	0.166993102	6.49699215	-1.635216348	-0.043063249	-4.382399045	-7.425197998	-7.425197998
PDC-6	-0.295072646	-0.295072646	-0.131028086	0.058283343	1.305368574	-4.720152305	0.881846468	-1.270643761	-1.44762519	-9.48460217	-0.331761483	-0.059765878	-3.043698271	-0.295072646	-0.295072646
MexB	-6.256356152	-6.256356152	1.019004208	0.070441773	1.435944336	-2.235221645	2.255075756	-0.482906124	4.206545805	-4.888697159	-0.985259248	-0.02470585	-5.369690829	-6.256356152	-6.256356152
mdtH	0.008377161	0.008377161	-0.003522894	0.00468025	0.699523393	-0.027846553	0.306470562	-1.358077374	-0.460973446	0	-0.765858638	-0.010287599	-0.003077014	0.008377161	0.008377161
oqxB	0.00854764	0.00854764	-0.055434256	0.0301838	0.017859511	-1.337315506	0.005248601	-1.585271562	-0.59340455	-0.466928964	-0.479079517	-0.009907792	0.51553536	0.00854764	0.00854764
PDC-1	-14.67003928	-14.67003928	-0.163098896	-0.773796798	-8.633234888	-7.691242728	-11.08303034	-1.305646461	-2.209465593	-7.871283863	-0.927875954	-0.046554977	-9.798008485	-14.67003928	-14.67003928
QnrB42	-0.002203568	-0.002203568	-0.007487119	0.005504171	2.66299E-05	1.579286072	-2.89962E-05	-0.593225326	-0.784901476	-1.204394559	-0.348967719	-0.005898574	-0.001779289	-0.002203568	-0.002203568
acrD	0.11616507	0.11616507	-0.058716178	0.02472168	0.036951751	1.300072822	0.004977757	-1.110902388	-0.860095533	-3.066346338	-0.958424005	-0.026182338	-1.63112E-06	0.11616507	0.11616507
PDC-3	4.297791643	4.297791643	-0.182220153	0.185079877	3.914709101	-3.790967806	5.175375084	-3.402420033	-1.78674931	-5.598057611	-2.345231788	-0.112601474	2.285620026	4.297791643	4.297791643
QnrD2	0.116247201	0.116247201	-0.004469129	0.004489702	0.033486573	-0.27921325	0.004182628	-0.517677063	-0.023749578	-0.07448209	-0.376889172	-0.00718649	-0.001432435	0.116247201	0.116247201
sdiA	0.116247201	0.116247201	-0.004469129	0.004489702	0.033486573	-0.27921325	0.004182628	-0.517677063	-0.023749578	-0.07448209	-0.376889172	-0.00718649	-0.001432435	0.116247201	0.116247201
patA	1.932892032	1.932892032	-0.053135193	0.075102139	1.18822509	2.287809619	1.315802608	-0.357656124	-0.387109275	-2.26635961	-0.690118131	-0.022901471	5.045274819	1.932892032	1.932892032
Klebsiella pneumoniae OmpK37	0.116247201	0.116247201	-0.004469129	0.004489702	0.033486573	-0.27921325	0.004182628	-0.517677063	-0.023749578	-0.07448209	-0.376889172	-0.00718649	-0.001432435	0.116247201	0.116247201
APH(6)-Id	0.489605887	0.489605887	-0.095197205	0.03333875	0.209554268	2.502279918	0.250186851	0.210311503	0.864199956	-1.617303136	-0.071961657	0.090170679	5.44091E-05	0.489605887	0.489605887
AAC(3)-IIb	-0.001044058	-0.001044058	-0.029001406	0.007749511	0.00010737	0.026550611	7.39585E-05	-4.692091475	1.461793007	0.019153955	0	-0.009033263	0.002142613	-0.001044058	-0.001044058
sul1	1.829605927	1.829605927	0.41767804	0.065279155	0.868805868	1.729087357	0.670264233	3.887518108	3.213755107	6.012906039	0.559594103	0.305504172	4.052269819	1.829605927	1.829605927
aadA6	1.837623286	1.837623286	0.463368438	0.052926458	0.868805868	-0.441649427	0.670303653	-0.778698225	3.457789289	0.457579295	-0.766077856	-0.042047435	4.063032461	1.837623286	1.837623286
clbA	0.020496549	0.020496549	-0.006948096	0.010638083	0	-1.265634371	0.213239476	2.624090912	-0.069534459	3.076038627	1.218031715	-0.006152667	0.007713565	0.020496549	0.020496549
Streptococcus agalactiae mprF	0.596993381	0.596993381	-0.00683279	0.008951486	0.55696186	0	0.677211864	0	0	-2.244022742	0	-0.004952393	0.007116574	0.596993381	0.596993381
acrB	0.003820004	0.003820004	-0.047345738	0.014515942	0.043520498	-0.005443718	0.011507373	0	-0.056860927	-2.894644047	-0.24522236	-0.014461577	0.00263956	0.003820004	0.003820004
cpxA	3.96355E-05	3.96355E-05	-0.008915456	0.005858296	0.029014627	5.550712184	0.00089642	0	-0.008744112	-0.264153243	0.573994909	-0.007853159	-0.001575041	3.96355E-05	3.96355E-05
Escherichia coli emrE	3.96355E-05	3.96355E-05	-0.008915456	0.005858296	0.029014627	5.550712184	0.00089642	0	-0.008744112	-0.264153243	0.573994909	-0.007853159	-0.001575041	3.96355E-05	3.96355E-05
CrpP	7.354621283	7.354621283	0.527621391	0.198285262	2.966438943	-1.218662791	3.817033594	-3.079930661	-0.964771598	3.101369191	-1.609070928	0.154268402	3.758087521	7.354621283	7.354621283
TEM-75	0.022549819	0.022549819	-0.037534488	0.025950006	0.318956215	-0.807910969	0.452994036	-0.158310948	-0.001871921	-3.382894971	0	-0.006575474	1.17374054	0.022549819	0.022549819
Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	0.023037609	0.023037609	-0.074830547	0.037118592	0.318925851	-0.807910969	0.452928456	-0.443417371	-0.055514878	-3.451661926	-0.31153973	-0.01360229	1.229517756	0.023037609	0.023037609
lmrD	0.022549819	0.022549819	-0.037534488	0.025950006	0.318956215	-0.807910969	0.452994036	-0.158310948	-0.001871921	-3.382894971	0	-0.006575474	1.17374054	0.022549819	0.022549819
PmrF	0.448412681	0.448412681	-0.054931212	0.026980105	0.503252808	-1.116291799	0.538735894	-1.806118762	-1.392045296	-1.8799377	-0.633210222	-0.02120099	0.014361723	0.448412681	0.448412681
spd	0.930081174	0.930081174	-0.058158419	0.036088444	0.517508938	-1.17652673	0.219226236	0	-0.804361486	0	0	-0.022409984	0.389054623	0.930081174	0.930081174
Pseudomonas aeruginosa parE conferring resistance to fluoroquinolones	0.511184279	0.511184279	-0.041607546	0.020088808	0.280776251	-0.478323012	0.090648798	0	-0.268120495	-0.461256193	-0.864500863	-0.01596083	0.133681477	0.511184279	0.511184279
AAC(3)-VIIIa	-0.004169553	-0.004169553	-0.011212134	0.005116756	-0.000225699	1.205622096	-0.000409944	-0.051979366	-0.828790627	-1.002198868	-0.044141888	-0.009339371	-0.000205225	-0.004169553	-0.004169553
adeL	-0.004169553	-0.004169553	-0.011212134	0.005116756	-0.000225699	1.205622096	-0.000409944	-0.051979366	-0.828790627	-1.002198868	-0.044141888	-0.009339371	-0.000205225	-0.004169553	-0.004169553
smeF	-0.004169553	-0.004169553	-0.011212134	0.005116756	-0.000225699	1.205622096	-0.000409944	-0.051979366	-0.828790627	-1.002198868	-0.044141888	-0.009339371	-0.000205225	-0.004169553	-0.004169553
Staphylococcus mupA conferring resistance to mupirocin	-0.004169553	-0.004169553	-0.011212134	0.005116756	-0.000225699	1.205622096	-0.000409944	-0.051979366	-0.828790627	-1.002198868	-0.044141888	-0.009339371	-0.000205225	-0.004169553	-0.004169553
mel	-0.004169553	-0.004169553	-0.011212134	0.005116756	-0.000225699	1.205622096	-0.000409944	-0.051979366	-0.828790627	-1.002198868	-0.044141888	-0.009339371	-0.000205225	-0.004169553	-0.004169553
fexA	0.00382938	0.00382938	-0.01376341	0.015975946	0.000117289	0.202030483	0.003880447	0.269966419	-1.040064429	0.607584283	0.158396989	-0.013114692	0.009631219	0.00382938	0.00382938
emrB	0.535477446	0.535477446	-0.02140114	0.019939472	0.511211476	-3.327805679	0.60902645	-0.741526886	-0.36327078	-0.8633352	0.805020383	-0.012262093	0.014468191	0.535477446	0.535477446
OXA-54	0.000285483	0.000285483	-0.01104361	0.005642216	0.014693458	-0.045429342	0.000431611	2.712231033	-0.001897027	-0.336210589	0	-0.009134603	-0.001415077	0.000285483	0.000285483
mdtA	0.003773745	0.003773745	-0.016381019	0.014777553	0.047753975	-0.277044855	0.017493048	2.712231033	-0.001897027	-0.391297943	0	-0.016097607	0.002902885	0.003773745	0.003773745
mdtB	-0.004808697	-0.004808697	-0.044784509	0.022440561	0.032846949	-0.229708226	0.016793947	-0.330489301	0	-1.093635835	0.912854854	-0.01648903	0.007715977	-0.004808697	-0.004808697
baeS	4.749159755	4.749159755	-0.024180213	0.017889506	0.528897724	-0.568734093	0.653228377	0	-0.854419761	-5.923480294	-0.273590585	-0.010519555	1.576875596	4.749159755	4.749159755
vanSE	-0.000649543	-0.000649543	-0.002814962	0.005915521	0.01525616	0	0.007501689	-0.514685545	-0.153212496	0	0	-0.00653806	-0.003146213	-0.000649543	-0.000649543
dfrB3	-0.000649543	-0.000649543	-0.002814962	0.005915521	0.01525616	0	0.007501689	-0.514685545	-0.153212496	0	0	-0.00653806	-0.003146213	-0.000649543	-0.000649543
aadA3	4.754299231	4.754299231	-0.012912614	0.013943069	0.529047934	-0.570641381	0.653424509	0	-0.854419761	-5.003903515	-0.205618605	-0.005375762	1.578612813	4.754299231	4.754299231
ramA	3.31260573	3.31260573	-0.023935193	0.042163188	0.56881822	1.341778366	0.644389718	-0.078121927	-0.657367083	0	0.49576123	-0.009448115	1.659466354	3.31260573	3.31260573
tetT	0.03203154	0.03203154	-0.011170336	0.028722473	0.175659174	2.312277417	0.162289308	0.9056063	9.4338E-05	0	0.49576123	-0.004090126	0.67633188	0.03203154	0.03203154
baeR	0.003488262	0.003488262	-0.005337409	0.009135337	0.033060516	-0.231615513	0.017061437	0	0	-0.055087355	0	-0.006963004	0.004317962	0.003488262	0.003488262
CRP	0.003488262	0.003488262	-0.005337409	0.009135337	0.033060516	-0.231615513	0.017061437	0	0	-0.055087355	0	-0.006963004	0.004317962	0.003488262	0.003488262
Escherichia coli acrA	0.003488262	0.003488262	-0.005337409	0.009135337	0.033060516	-0.231615513	0.017061437	0	0	-0.055087355	0	-0.006963004	0.004317962	0.003488262	0.003488262
OKP-A-4	0.38180858	0.38180858	-0.02530307	0.012499013	0.175960325	0.584205773	0.24627316	1.004551278	-0.329809291	-1.753456226	-0.47066641	-0.007543278	0.006001866	0.38180858	0.38180858
AcrS	0.378063504	0.378063504	0.924937037	0.024091868	0.175960325	0.584205773	0.246163064	0.677273734	1.155889711	-1.753456226	-0.592060522	0.262344281	0.010758867	0.378063504	0.378063504
vanD	0.005275792	0.005275792	-0.00578998	0.00485437	0	2.052506662	0.003867474	1.011493305	-0.676793649	1.448333883	0.350219187	-0.006923145	-0.002359491	0.005275792	0.005275792
Erm(38)	0.005275792	0.005275792	-0.00578998	0.00485437	0	2.052506662	0.003867474	1.011493305	-0.676793649	1.448333883	0.350219187	-0.006923145	-0.002359491	0.005275792	0.005275792
tetW	0.005275792	0.005275792	-0.00578998	0.00485437	0	2.052506662	0.003867474	1.011493305	-0.676793649	1.448333883	0.350219187	-0.006923145	-0.002359491	0.005275792	0.005275792
arr-3	3.28057419	3.28057419	-0.012764857	0.013440715	0.393159046	-0.970499051	0.482100409	-0.983728227	-0.657461421	0	0	-0.005357989	0.983134474	3.28057419	3.28057419
Bacillus subtilis mprF	3.28057419	3.28057419	-0.012764857	0.013440715	0.393159046	-0.970499051	0.482100409	-0.983728227	-0.657461421	0	0	-0.005357989	0.983134474	3.28057419	3.28057419
mdtO	0.006394117	0.006394117	-0.01858229	0.016775961	0	1.794206617	0.003401826	1.591053871	-0.452274254	1.9565842	1.100752952	-0.004696925	0.512104841	0.006394117	0.006394117
MCR-3	0.006394117	0.006394117	-0.01858229	0.016775961	0	1.794206617	0.003401826	1.591053871	-0.452274254	1.9565842	1.100752952	-0.004696925	0.512104841	0.006394117	0.006394117
Escherichia coli ampC beta-lactamase	0.001641845	0.001641845	-0.004162649	0.006370231	0.001756408	0	0.000594587	0	-0.004494226	-0.163703167	-0.209831972	-0.004043043	0.00093204	0.001641845	0.001641845
H-NS	0.001641845	0.001641845	-0.004162649	0.006370231	0.001756408	0	0.000594587	0	-0.004494226	-0.163703167	-0.209831972	-0.004043043	0.00093204	0.001641845	0.001641845
AcrF	0.441659026	0.441659026	-0.006482683	0.008717265	0.396073738	-0.786001496	0.482530344	-0.879402859	-0.0387285	0	-0.456244559	-0.004869989	0.006513633	0.441659026	0.441659026
Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin	1.402804711	1.402804711	-0.012192658	0.02939095	0.803119018	-0.329460321	0.903057512	-1.750136639	-0.033644744	-0.438421294	-0.338323781	-0.004081577	4.364373508	1.402804711	1.402804711
PER-5	0.000959184	0.000959184	-0.085194562	0.016715151	0.00336428	0	0.000459077	0	-0.093900506	-3.247533043	-0.045470284	-0.018108462	0.004556106	0.000959184	0.000959184
rmtB	0.543355659	0.543355659	-0.049206388	0.026084603	0.521967754	6.483287078	0.612123502	-1.070827358	-0.502930647	-0.0225856	0.472549285	-0.011918998	0.499645615	0.543355659	0.543355659
otr(A)	0.003595742	0.003595742	-0.122786109	0.01983844	0.029441604	0.05822355	0.004937723	1.687482238	-1.566584383	3.076878448	1.243740795	-0.017989423	0.005142234	0.003595742	0.003595742
Salmonella enterica cmlA	-0.003084938	-0.003084938	-0.026496116	0.007094005	0	0.027680328	0.000100503	0.223718891	0.293731759	1.248175943	0.550078035	0.3575671	-0.00884521	-0.003084938	-0.003084938
catIII	-0.002473415	-0.002473415	-0.017229317	0.003341831	0	0.027680328	-0.000202973	0.223718891	0.293731759	0.191481225	0	0.123949204	-0.004740202	-0.002473415	-0.002473415
armA	0.011051692	0.011051692	-0.022538387	0.018650501	1.398134816	-0.131833229	1.744600006	-3.018487176	-0.566137834	-0.068774905	-1.240147463	-0.010178658	0.002991803	0.011051692	0.011051692
SLB-1	0.660435928	0.660435928	-0.041017527	0.030200738	0.994642015	0	1.236332011	-0.265010384	0	-1.276081717	-0.292047299	-0.005483379	0.830161952	0.660435928	0.660435928
novA	1.693447777	1.693447777	-0.008880454	0.008709221	-0.000310789	-1.279132355	-0.000477447	-0.564370906	0.001097523	-4.842926293	-0.244776143	-0.006195966	6.208055382	1.693447777	1.693447777
evgS	-0.003157483	-0.003157483	-0.028179501	0.009358788	-6.33574E-05	0	-7.13576E-05	-0.330489301	0	-0.118971702	0.980826835	-0.004382233	0.005135232	-0.003157483	-0.003157483
myrA	10.71756404	10.71756404	-0.092687571	0.011648631	0.718027404	0	1.126519796	-2.892425345	0	0	-0.389568789	-0.00444626	0	10.71756404	10.71756404
ceoB	0.027499081	0.027499081	-0.012290304	0.011414029	0.661085284	0.002327103	0.83697561	-0.037794789	-7.38552E-05	3.458882986	-0.125297293	-0.00558238	0.117584185	0.027499081	0.027499081
Escherichia coli mdfA	-0.001092098	-0.001092098	-0.00660569	0.006081992	-0.000110343	-0.000193812	-0.000185435	-0.043842044	-0.122431521	-1.637659259	-0.032580046	-0.007016434	0.000902725	-0.001092098	-0.001092098
