Sample ID	Tested R Phenotype	Predicted R Phenotype	Correct R Prediction	Correct S Prediction	Overprediction	Underprediction
C0423	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, gentamicin_C	ampicillin, cefalotin	ceftazidime, meropenem, piperacillin-tazobactam, amikacin, tobramycin	gentamicin_C, ciprofloxacin	cefazolin, trimethoprim-sulfamethoxazole, cefixime, ceftriaxone, nitrofurantoin, cefoxitin, tetracycline, amoxicillin-clavulanic_acid
C0028	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, meropenem, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	meropenem, trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline, ciprofloxacin	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, gentamicin_C	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0155	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, ceftazidime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ceftazidime, trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	amikacin, tobramycin	meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0204	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, ceftazidime, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ceftazidime, trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	amikacin, tobramycin	meropenem, gentamicin_C, ciprofloxacin	cefazolin, piperacillin-tazobactam, cefixime, nitrofurantoin, cefoxitin
C0305	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, cefalotin, gentamicin_C	ampicillin, cefalotin	ceftazidime, meropenem, piperacillin-tazobactam, amikacin, tobramycin, ciprofloxacin	gentamicin_C	cefazolin, trimethoprim-sulfamethoxazole, cefixime, ceftriaxone, amoxicillin-clavulanic_acid, nitrofurantoin, cefoxitin, tetracycline
C0179	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0178	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0176	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, ceftazidime, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ceftazidime, trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	amikacin, tobramycin	meropenem, gentamicin_C, ciprofloxacin	cefazolin, piperacillin-tazobactam, cefixime, nitrofurantoin, cefoxitin
C0334	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, ceftazidime, meropenem, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ceftazidime, meropenem, trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	amikacin, tobramycin	gentamicin_C, ciprofloxacin	cefazolin, piperacillin-tazobactam, cefixime, nitrofurantoin, cefoxitin
C0376	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline, ciprofloxacin	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C	cefazolin, cefixime, nitrofurantoin, cefoxitin
C1433	ampicillin, amoxicillin-clavulanic_acid, cefazolin, ciprofloxacin, cefixime, ceftazidime, meropenem, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ceftazidime, meropenem, trimethoprim-sulfamethoxazole, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline, ciprofloxacin	amikacin, tobramycin	gentamicin_C	cefazolin, piperacillin-tazobactam, cefixime, nitrofurantoin, cefoxitin
C0646	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, gentamicin_C, meropenem, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, amikacin, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	meropenem, trimethoprim-sulfamethoxazole, cefalotin, ampicillin, gentamicin_C, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline, ciprofloxacin	piperacillin-tazobactam, tobramycin	ceftazidime, amikacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0294	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline, ciprofloxacin	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C	cefazolin, cefixime, nitrofurantoin, cefoxitin
C1437	ampicillin, amoxicillin-clavulanic_acid, cefazolin, ciprofloxacin, cefixime, ceftazidime, meropenem, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ceftazidime, meropenem, trimethoprim-sulfamethoxazole, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline, ciprofloxacin	piperacillin-tazobactam, amikacin, tobramycin	gentamicin_C	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0399	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ceftazidime, trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline, ciprofloxacin	amikacin, tobramycin	meropenem, gentamicin_C	cefazolin, piperacillin-tazobactam, cefixime, nitrofurantoin, cefoxitin
C0445	cefazolin, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, tetracycline	piperacillin-tazobactam, cefixime, amikacin, tobramycin, cefoxitin	ceftazidime, meropenem, cefalotin, ampicillin, gentamicin_C, ceftriaxone, amoxicillin-clavulanic_acid, ciprofloxacin	cefazolin, nitrofurantoin
C0346	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0177	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, meropenem, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ceftazidime, meropenem, trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline, ciprofloxacin	amikacin, tobramycin	gentamicin_C	cefazolin, piperacillin-tazobactam, cefixime, nitrofurantoin, cefoxitin
C0401	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0295	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0378	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0089	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, gentamicin_C, meropenem, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ceftazidime, meropenem, trimethoprim-sulfamethoxazole, cefalotin, ampicillin, gentamicin_C, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline, ciprofloxacin	piperacillin-tazobactam, amikacin, tobramycin		cefazolin, cefixime, nitrofurantoin, cefoxitin
C0377	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0057	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0063	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, ceftazidime, meropenem, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ceftazidime, meropenem, trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	amikacin, tobramycin	gentamicin_C, ciprofloxacin	cefazolin, piperacillin-tazobactam, cefixime, nitrofurantoin, cefoxitin
C0043	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0224	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0307	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0234	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0254	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline, ciprofloxacin	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0203	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0201	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
