Sample ID	Tested R Phenotype	Predicted R Phenotype	Correct R Prediction	Correct S Prediction	Overprediction	Underprediction
C0146	ampicillin, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, trimethoprim-sulfamethoxazole, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline		gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ampicillin, ciprofloxacin, tetracycline, nitrofurantoin, cefalotin	
C0406	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, gentamicin_C, tetracycline, tobramycin, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amikacin, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole	gentamicin_C, ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, ceftazidime, tetracycline, cefalotin	ertapenem, meropenem	amikacin, piperacillin-tazobactam, nitrofurantoin	ceftriaxone, cefoxitin, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin
C0008	ampicillin, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, ceftazidime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, ceftazidime, tetracycline, cefalotin	gentamicin_C, amikacin, piperacillin-tazobactam, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, tobramycin	nitrofurantoin	ceftriaxone, cefazolin, cefixime
C0341	ampicillin, cefalotin, trimethoprim-sulfamethoxazole	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, trimethoprim-sulfamethoxazole, cefalotin	gentamicin_C, amikacin, ceftriaxone, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ciprofloxacin, tetracycline, nitrofurantoin	
C0350	ampicillin, cefalotin, ciprofloxacin, trimethoprim-sulfamethoxazole, cefoxitin	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, cefalotin	gentamicin_C, amikacin, ceftriaxone, piperacillin-tazobactam, ceftazidime, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	tetracycline, nitrofurantoin	cefoxitin
C0289	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, ceftazidime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin	ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, ceftazidime, tetracycline, cefoxitin, cefalotin	gentamicin_C, amikacin, piperacillin-tazobactam, ertapenem, meropenem, tobramycin	nitrofurantoin	ceftriaxone, amoxicillin-clavulanic_acid, cefazolin, cefixime
C0418	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, piperacillin-tazobactam	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	ampicillin, cefalotin	gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, ceftazidime, cefoxitin, ertapenem, meropenem, cefixime, tobramycin	ciprofloxacin, tetracycline, nitrofurantoin	piperacillin-tazobactam, amoxicillin-clavulanic_acid, cefazolin
C0087	ampicillin, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, gentamicin_C, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	ampicillin, ciprofloxacin, cefalotin	amikacin, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, tobramycin	tetracycline, nitrofurantoin	gentamicin_C, ceftriaxone, ceftazidime, cefazolin, cefixime
C0242	ampicillin, cefalotin, ciprofloxacin, gentamicin_C, tobramycin	ampicillin, amikacin, cefalotin, ciprofloxacin, gentamicin_C, nitrofurantoin, tetracycline	gentamicin_C, ampicillin, ciprofloxacin, cefalotin	ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime	amikacin, tetracycline, nitrofurantoin	tobramycin
C0476	ampicillin, cefalotin, gentamicin_C	ampicillin, cefalotin, ciprofloxacin, gentamicin_C, nitrofurantoin, tetracycline	gentamicin_C, ampicillin, cefalotin	amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ciprofloxacin, tetracycline, nitrofurantoin	
C0371	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, ceftazidime, nitrofurantoin, tetracycline	ampicillin, ciprofloxacin, ceftazidime, cefalotin	gentamicin_C, amikacin, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, cefoxitin, ertapenem, meropenem, tobramycin	tetracycline, nitrofurantoin	ceftriaxone, amoxicillin-clavulanic_acid, cefazolin, cefixime
C0427	ampicillin, cefalotin, ciprofloxacin, tetracycline	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	ampicillin, ciprofloxacin, tetracycline, cefalotin	gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	nitrofurantoin	
C0002	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, gentamicin_C, tetracycline, tobramycin, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amikacin, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole	gentamicin_C, ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, ceftazidime, tetracycline, cefalotin	ertapenem, meropenem	amikacin, piperacillin-tazobactam, nitrofurantoin	ceftriaxone, cefoxitin, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin
C0194	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, gentamicin_C, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, amikacin, cefalotin, ciprofloxacin, gentamicin_C, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	gentamicin_C, ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, tetracycline, nitrofurantoin, cefalotin	ceftriaxone, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, cefazolin, cefixime, tobramycin	amikacin	amoxicillin-clavulanic_acid
C0209	ampicillin, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, ceftazidime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, ceftazidime, tetracycline, cefalotin	gentamicin_C, amikacin, piperacillin-tazobactam, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, tobramycin	nitrofurantoin	ceftriaxone, cefazolin, cefixime
C0270	ciprofloxacin	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	ciprofloxacin	gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ampicillin, tetracycline, nitrofurantoin, cefalotin	
C0395	nitrofurantoin, trimethoprim-sulfamethoxazole	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	trimethoprim-sulfamethoxazole, nitrofurantoin	gentamicin_C, amikacin, ceftriaxone, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ampicillin, ciprofloxacin, tetracycline, cefalotin	
C0251	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, nitrofurantoin, tetracycline, tobramycin, trimethoprim-sulfamethoxazole, ceftriaxone	cefalotin, ciprofloxacin, ceftazidime, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole	ciprofloxacin, trimethoprim-sulfamethoxazole, ceftazidime, tetracycline, nitrofurantoin, cefalotin	gentamicin_C, amikacin, cefoxitin, ertapenem, meropenem	piperacillin-tazobactam	ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin
C0460	ampicillin, trimethoprim-sulfamethoxazole	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, trimethoprim-sulfamethoxazole	gentamicin_C, amikacin, ceftriaxone, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ciprofloxacin, tetracycline, nitrofurantoin, cefalotin	
C0094	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, gentamicin_C, piperacillin-tazobactam, tetracycline, tobramycin, trimethoprim-sulfamethoxazole, ceftriaxone	ampicillin, amikacin, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole	gentamicin_C, ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, tetracycline, cefalotin	cefoxitin, ertapenem, meropenem	amikacin, nitrofurantoin	ceftriaxone, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin
C0269	ampicillin, cefalotin	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	ampicillin, cefalotin	gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ciprofloxacin, tetracycline, nitrofurantoin	
C0594	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, gentamicin_C, tetracycline, tobramycin, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amikacin, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole	gentamicin_C, ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, ceftazidime, tetracycline, cefalotin	ertapenem, meropenem	amikacin, piperacillin-tazobactam, nitrofurantoin	ceftriaxone, cefoxitin, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin
C0628	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, tetracycline, cefalotin	gentamicin_C, amikacin, piperacillin-tazobactam, ertapenem, meropenem, tobramycin	nitrofurantoin	ceftriaxone, ceftazidime, cefoxitin, amoxicillin-clavulanic_acid, cefazolin, cefixime
C0331	ciprofloxacin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ciprofloxacin, trimethoprim-sulfamethoxazole, tetracycline	gentamicin_C, amikacin, ceftriaxone, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ampicillin, nitrofurantoin, cefalotin	
C0339	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, tetracycline, tobramycin, trimethoprim-sulfamethoxazole, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, ceftazidime, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, ceftazidime, tetracycline, cefalotin	gentamicin_C, amikacin, cefoxitin, ertapenem, meropenem	piperacillin-tazobactam, nitrofurantoin	ceftriaxone, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin
C0450	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, tetracycline, tobramycin, trimethoprim-sulfamethoxazole, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline		gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ampicillin, ciprofloxacin, tetracycline, nitrofurantoin, cefalotin	
C0384	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, ceftazidime, nitrofurantoin, tetracycline, cefoxitin	ampicillin, ciprofloxacin, ceftazidime, tetracycline, nitrofurantoin, cefoxitin, cefalotin	gentamicin_C, amikacin, ertapenem, meropenem, tobramycin		ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, amoxicillin-clavulanic_acid, cefazolin, cefixime
C0403	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline		gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ampicillin, ciprofloxacin, tetracycline, nitrofurantoin, cefalotin	
C0329	ampicillin, amoxicillin-clavulanic_acid, cefalotin	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	ampicillin, cefalotin	gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, cefazolin, cefixime, tobramycin	ciprofloxacin, tetracycline, nitrofurantoin	amoxicillin-clavulanic_acid
C0011	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, gentamicin_C, tetracycline, tobramycin, trimethoprim-sulfamethoxazole, ceftriaxone	ampicillin, amikacin, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole	gentamicin_C, ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, ceftazidime, tetracycline, cefalotin	cefoxitin, ertapenem, meropenem	amikacin, piperacillin-tazobactam, nitrofurantoin	ceftriaxone, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin
C0322	tetracycline	nitrofurantoin, tetracycline	tetracycline	gentamicin_C, ampicillin, ciprofloxacin, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, cefalotin, tobramycin	nitrofurantoin	
C0003	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, gentamicin_C, tetracycline, tobramycin, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	amikacin, ciprofloxacin, ceftazidime, gentamicin_C, nitrofurantoin, tetracycline, ceftriaxone	gentamicin_C, ciprofloxacin, ceftriaxone, ceftazidime, tetracycline	piperacillin-tazobactam, ertapenem, meropenem	amikacin, nitrofurantoin	ampicillin, trimethoprim-sulfamethoxazole, cefoxitin, amoxicillin-clavulanic_acid, cefazolin, cefixime, cefalotin, tobramycin
C0475	ampicillin, cefalotin, ciprofloxacin, cefoxitin	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	ampicillin, ciprofloxacin, cefalotin	gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	tetracycline, nitrofurantoin	cefoxitin
C0439	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, piperacillin-tazobactam, trimethoprim-sulfamethoxazole	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, trimethoprim-sulfamethoxazole, cefalotin	gentamicin_C, amikacin, ceftriaxone, ceftazidime, cefoxitin, ertapenem, meropenem, cefixime, tobramycin	ciprofloxacin, tetracycline, nitrofurantoin	piperacillin-tazobactam, amoxicillin-clavulanic_acid, cefazolin
C0369	ampicillin, trimethoprim-sulfamethoxazole	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, trimethoprim-sulfamethoxazole	gentamicin_C, amikacin, ceftriaxone, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ciprofloxacin, tetracycline, nitrofurantoin, cefalotin	
C0381	ampicillin, cefalotin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, trimethoprim-sulfamethoxazole, tetracycline, cefalotin	gentamicin_C, amikacin, ceftriaxone, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ciprofloxacin, nitrofurantoin	
C0208	cefalotin, ciprofloxacin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	ciprofloxacin, tetracycline, cefalotin	gentamicin_C, amikacin, ceftriaxone, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ampicillin, nitrofurantoin	trimethoprim-sulfamethoxazole
C0417	ampicillin, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, ceftazidime, nitrofurantoin, tetracycline	ampicillin, ciprofloxacin, ceftazidime, cefalotin	gentamicin_C, amikacin, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, tobramycin	tetracycline, nitrofurantoin	ceftriaxone, cefazolin, cefixime
C0484	ampicillin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, trimethoprim-sulfamethoxazole, tetracycline	gentamicin_C, amikacin, ceftriaxone, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ciprofloxacin, nitrofurantoin, cefalotin	
C0320	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, gentamicin_C, tobramycin, ceftriaxone	ampicillin, amikacin, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, nitrofurantoin, piperacillin-tazobactam, tetracycline	gentamicin_C, ampicillin, ciprofloxacin, ceftazidime, cefalotin	trimethoprim-sulfamethoxazole, cefoxitin, ertapenem, meropenem	amikacin, piperacillin-tazobactam, tetracycline, nitrofurantoin	ceftriaxone, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin
C0243	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, gentamicin_C, tobramycin, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline		gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ampicillin, ciprofloxacin, tetracycline, nitrofurantoin, cefalotin	
C0647	ampicillin, amoxicillin-clavulanic_acid, amikacin, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, gentamicin_C, meropenem, piperacillin-tazobactam, tetracycline, tobramycin, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone, ertapenem	ampicillin, amoxicillin-clavulanic_acid, amikacin, cefalotin, ciprofloxacin, gentamicin_C, nitrofurantoin, piperacillin-tazobactam, tetracycline, tobramycin	gentamicin_C, ampicillin, ciprofloxacin, amikacin, piperacillin-tazobactam, tetracycline, amoxicillin-clavulanic_acid, cefalotin, tobramycin		nitrofurantoin	ceftriaxone, trimethoprim-sulfamethoxazole, ceftazidime, cefoxitin, ertapenem, meropenem, cefazolin, cefixime
